word,meaning,example
Abandon,পরিত্যাগ করা,They had to abandon the sinking ship. (তাদেরকে ডুবন্ত জাহাজটি পরিত্যাগ করতে হয়েছিল।)
Ability,ক্ষমতা,She has the ability to learn quickly. (তার দ্রুত শেখার ক্ষমতা আছে।)
Absolute,পরম,He is an absolute beginner. (সে একজন পরম শিক্ষানবীশ।)
Accurate,সঠিক,The report is accurate. (প্রতিবেদনটি সঠিক।)
Achieve,অর্জন করা,You can achieve anything you set your mind to. (তুমি যা মনে স্থির করবে তাই অর্জন করতে পারো।)
Acquire,অর্জন করা,He acquired a lot of wealth. (সে অনেক সম্পদ অর্জন করেছিল।)
Adapt,খাপ খাওয়ানো,We must adapt to the new situation. (আমাদেরকে নতুন পরিস্থিতির সাথে খাপ খাইয়ে নিতে হবে।)
Adequate,পর্যাপ্ত,The food was not adequate for everyone. (খাবারটি সবার জন্য পর্যাপ্ত ছিল না।)
Adjust,মানিয়ে নেওয়া,She found it hard to adjust to her new job. (তার নতুন কাজের সাথে মানিয়ে নেওয়া কঠিন হয়েছিল।)
Afford,সামর্থ্য থাকা,I cannot afford to buy a new car. (আমি একটি নতুন গাড়ি কেনার সামর্থ্য রাখি না।)
Aggressive,আক্রমণাত্মক,He has a very aggressive attitude. (তার খুব আক্রমণাত্মক মনোভাব রয়েছে।)
Allow,অনুমতি দেওয়া,They don't allow smoking here. (তারা এখানে ধূমপানের অনুমতি দেয় না।)
Ancient,প্রাচীন,This is an ancient temple. (এটি একটি প্রাচীন মন্দির।)
Apparent,স্পষ্ট,It was apparent that he was unhappy. (এটা স্পষ্ট ছিল যে সে অখুশি ছিল।)
Approach,কাছে আসা,A storm is approaching. (একটি ঝড় কাছে আসছে।)
Argue,তর্ক করা,We are always arguing about money. (আমরা সবসময় টাকা নিয়ে তর্ক করি।)
Arrange,ব্যবস্থা করা,Can you arrange a meeting for tomorrow? (আপনি কি আগামীকালের জন্য একটি সভার ব্যবস্থা করতে পারেন?)
Assist,সহায়তা করা,He assisted me in my work. (সে আমাকে আমার কাজে সহায়তা করেছিল।)
Assume,অনুমান করা,I assume you have finished your homework. (আমি অনুমান করি তুমি তোমার বাড়ির কাজ শেষ করেছো।)
Attempt,চেষ্টা করা,He made no attempt to escape. (সে পালানোর কোনো চেষ্টা করেনি।)
Attitude,মনোভাব,He has a positive attitude towards life. (তার জীবন সম্পর্কে একটি ইতিবাচক মনোভাব আছে।)
Attract,আকর্ষণ করা,The flower's bright colors attract bees. (ফুলের উজ্জ্বল রঙ মৌমাছিদের আকর্ষণ করে।)
Average,গড়,The average age of the students is 10. (ছাত্রদের গড় বয়স ১০।)
Aware,সচেতন,I am aware of the problem. (আমি সমস্যাটি সম্পর্কে সচেতন।)
Benefit,সুবিধা,What are the benefits of this plan? (এই পরিকল্পনার সুবিধাগুলি কী কী?)
Brief,সংক্ষিপ্ত,Please keep your speech brief. (অনুগ্রহ করে আপনার বক্তব্য সংক্ষিপ্ত রাখুন।)
Capable,সক্ষম,She is capable of handling the situation. (সে পরিস্থিতি সামলাতে সক্ষম।)
Challenge,চ্যালেঞ্জ,It was a big challenge for me. (এটা আমার জন্য একটা বড় চ্যালেঞ্জ ছিল।)
Characteristic,বৈশিষ্ট্য,What are the characteristics of this animal? (এই প্রাণীটির বৈশিষ্ট্যগুলি কী কী?)
Claim,দাবি করা,He claimed to be a doctor. (সে নিজেকে ডাক্তার বলে দাবি করেছিল।)
Collapse,ভেঙ্গে পড়া,The building collapsed during the earthquake. (ভূমিকম্পের সময় ভবনটি ভেঙ্গে পড়েছিল।)
Commit,প্রতিশ্রুতিবদ্ধ হওয়া,He committed himself to finishing the project. (সে প্রকল্পটি শেষ করতে প্রতিশ্রুতিবদ্ধ হয়েছিল।)
Community,সম্প্রদায়,He is well-known in the local community. (সে স্থানীয় সম্প্রদায়ে সুপরিচিত।)
Compare,তুলনা করা,Don't compare yourself with others. (নিজেকে অন্যের সাথে তুলনা করো না।)
Complain,অভিযোগ করা,She is always complaining about her job. (সে সবসময় তার কাজ নিয়ে অভিযোগ করে।)
Complex,জটিল,The problem is very complex. (সমস্যাটি খুব জটিল।)
Concern,উদ্বেগ,His health is a major concern. (তার স্বাস্থ্য একটি বড় উদ্বেগের বিষয়।)
Condition,অবস্থা,The car is in good condition. (গাড়িটি ভালো অবস্থায় আছে।)
Conflict,দ্বন্দ্ব,There is a conflict between the two groups. (দুটি দলের মধ্যে দ্বন্দ্ব রয়েছে।)
Confuse,বিভ্রান্ত করা,His instructions confused me. (তার নির্দেশাবলী আমাকে বিভ্রান্ত করেছিল।)
Connect,সংযোগ করা,The two cities are connected by a bridge. (শহর দুটি একটি সেতু দ্বারা সংযুক্ত।)
Conscious,সচেতন,He was conscious of his mistake. (সে তার ভুল সম্পর্কে সচেতন ছিল।)
Consider,বিবেচনা করা,Please consider my request. (অনুগ্রহ করে আমার অনুরোধটি বিবেচনা করুন।)
Constant,অবিরাম,She was in constant pain. (সে অবিরাম যন্ত্রণার মধ্যে ছিল।)
Construct,নির্মাণ করা,They are constructing a new building. (তারা একটি নতুন ভবন নির্মাণ করছে।)
Contain,ধারণ করা,This box contains old photos. (এই বাক্সটিতে পুরানো ছবি রয়েছে।)
